player_id,name,age,draft_round,draft_pick,height,weight,season,pred_season,completions,targets,receiving_yards,receiving_tds,adot,receiving_yac,firstdowns_per_tgt,carries,rushing_yards,rushing_tds,rushing_first_downs,tgt_sh,ay_sh,yac_sh,wopr_y,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fantasy_points_ppr,pred_fantasy_points,pct_increase,breakout
00-0027120,Javon Ringer,22,5,37,69,213,2009,2010,0,0,0,0,0,0,0,8,6.00,0.00,0.25,0.00,0.00,0,0,0,0,0,0,0,0,0.039408866995073885,2.40,3.38,0.41,1
00-0027120,Javon Ringer,23,5,37,69,213,2010,2011,0.88,8,5.50,0.00,3.00,3.25,0.25,51,4.69,0.04,0.20,0.02,0.00,0.02529182879377432,0.029191329560985576,0,0.012903225806451613,0.0111731843575419,0.006711409395973154,0.010738255033557048,0.09282700421940929,0.03986111813385919,3.38,6.92,1.05,1
00-0027120,Javon Ringer,24,5,37,69,213,2011,2012,0.78,36,5.19,0.00,-0.39,5.22,0.36,59,3.14,0.02,0.12,0.09,0.00,0.14050822122571002,0.12557639483045885,0,0.10236220472440945,0.09090909090909091,0.032555710306406686,0.0520891364902507,0.44630071599045346,0.0720923448764429,6.92,5.60,-0.19,0
00-0027120,Javon Ringer,25,5,37,69,213,2012,,0.60,5,2.40,0.00,-2.00,3.60,0.00,2,7.00,0.00,0.00,0.07,-0.02,0.08256880733944955,0.08329853862212944,0,0,0,0.01405152224824356,0.022482435597189696,0.16,0.03815233683063087,5.60,,,0
00-0035489,Wes Hills,24,8,32,72,218,2019,,1.00,2,0.50,0.00,-1.00,1.50,0.00,10,2.10,0.20,0.30,0.05,-0.01,0.043478260869565216,0.06524766784916568,0,0,0,0,0,0.023255813953488372,0.22849083215796895,16.20,,,0
00-0035537,Ty Johnson,22,6,13,70,210,2019,2020,0.77,31,3.52,0.00,1.97,3.00,0.13,63,4.33,0.00,0.17,0.06,0.01,0.06633380884450785,0.09578354255045984,0,0.021505376344086023,0.018691588785046728,0.013895971443141255,0.02223355430902601,0.20222634508348794,0.045662100456621,4.01,7.91,0.97,1
00-0035537,Ty Johnson,23,6,13,70,210,2020,2021,0.76,21,4.71,0.05,2.52,6.14,0.29,54,4.70,0.02,0.20,0.07,0.02,0.12964824120603016,0.11701901222342198,0.09090909090909091,0.06315789473684211,0.0660377358490566,0.07053053329649074,0.058303398728930644,0.3183279742765273,0.09077090742227831,7.91,7.80,-0.01,0
00-0035537,Ty Johnson,24,6,13,70,210,2021,,0.62,55,6.76,0.04,2.31,6.07,0.36,61,3.90,0.03,0.21,0.10,0.03,0.1835164835164835,0.17281106071225022,0.10526315789473684,0.1111111111111111,0.11055276381909548,0.10307909725493555,0.10176866087105478,0.6678635547576302,0.09820544242810858,7.80,,,0
00-0027140,Chris Ogbonnaya,23,7,2,72,225,2009,,0.50,2,9.50,0.00,-3.00,9.50,0.50,11,4.55,0.00,0.18,0.03,-0.01,0.17592592592592593,0.038489208633093526,0,0.07142857142857142,0.06666666666666667,0.037848605577689244,0.06055776892430279,0.31666666666666665,0.09014148790506618,3.95,,,0
00-0027140,Chris Ogbonnaya,25,7,2,72,225,2011,2012,0.74,31,5.32,0.00,1.32,4.68,0.23,76,4.47,0.01,0.17,0.08,0.01,0.13653483992467044,0.13238462779690188,0,0.059322033898305086,0.05426356589147287,0.033292978208232446,0.053268765133171914,0.4296875,0.09639063704882964,7.75,6.24,-0.19,0
00-0027140,Chris Ogbonnaya,26,7,2,72,225,2012,2013,0.75,32,5.84,0.00,0.28,6.53,0.31,8,3.75,0.00,0.13,0.08,0.00,0.16289945440374123,0.12116405368076827,0,0.07352941176470588,0.06711409395973154,0.03642384105960265,0.05827814569536424,0.4628712871287129,0.051046631155966735,6.24,10.39,0.67,0
00-0027140,Chris Ogbonnaya,27,7,2,72,225,2013,2014,0.64,75,4.57,0.03,1.15,3.56,0.20,49,4.90,0.00,0.29,0.11,0.02,0.1351898734177215,0.17737307419761972,0.07692307692307693,0.075,0.0752212389380531,0.07768843690618622,0.0781476528960518,0.5036710719530103,0.08346843096875958,10.39,3.67,-0.65,0
00-0027140,Chris Ogbonnaya,28,7,2,72,225,2014,,0.00,1,0.00,0.00,-3.00,0.00,0.00,14,3.57,0.07,0.21,0.01,0.00,0,0.012970132743362832,0,0,0,0,0,0,0.05030641178084697,3.67,,,0
